STT,TRANG  ,CHß╗¿C N─éNG,,TRß║áNG TH├üI,HIß╗åN TRß║áNG,MONG MUß╗ÉN,TRß║áNG TH├üI,PH├éN C├öNG,NG├ÇY DONE
12,,- Chuyß╗ân h╞░ß╗¢ng sau ─æ─âng k├╜,,Cß║⌐n cß║úi thiß╗çn,"- N├║t ""─É├ú c├│ t├ái khoß║ún? ─É─âng nhß║¡p"" ─æang trß╗Å thß║│ng v├áo file JSP thay v├¼ ─æi qua bß╗Ö xß╗¡ l├╜. Ng╞░ß╗¥i d├╣ng ─æ├ú ─æ─âng nhß║¡p rß╗ôi vß║½n c├│ thß╗â v├áo lß║íi trang ─æ─âng k├╜.","- N├║t ""─É─âng nhß║¡p"" dß║½n ─æ├║ng qua bß╗Ö xß╗¡ l├╜. Nß║┐u ng╞░ß╗¥i d├╣ng ─æ├ú ─æ─âng nhß║¡p th├¼ tß╗▒ ─æß╗Öng chuyß╗ân vß╗ü trang chß╗º, kh├┤ng cho v├áo lß║íi trang ─æ─âng k├╜.",,,
13,,- Th├┤ng b├ío lß╗ùi trß╗▒c tiß║┐p tß║íi ├┤ nhß║¡p,,Cß║⌐n cß║úi thiß╗çn,"- Khi bß╗Å trß╗æng hoß║╖c nhß║¡p sai, lß╗ùi chß╗ë hiß╗çn sau khi nhß║Ñn n├║t ─É─âng k├╜ d╞░ß╗¢i dß║íng th├┤ng b├ío chung, kh├┤ng chß╗ë r├╡ ├┤ n├áo ─æang sai.","- Khi ng╞░ß╗¥i d├╣ng bß╗Å trß╗æng hoß║╖c nhß║¡p sai ├┤ n├áo, hß╗ç thß╗æng b├ío lß╗ùi ngay tß║íi ├┤ ─æ├│, highlight ─æß╗Å viß╗ün v├á hiß╗çn th├┤ng b├ío nhß╗Å ngay cß║ính ,kh├┤ng cß║ºn ─æß╗úi nhß║Ñn ─É─âng k├╜ mß╗¢i biß║┐t lß╗ùi.",,,
14,,- Chuß║⌐n ho├í email,,Cß║⌐n cß║úi thiß╗çn,"- Email kh├┤ng ─æ╞░ß╗úc xß╗¡ l├╜ tr╞░ß╗¢c khi kiß╗âm tra, dß║½n ─æß║┐n c├╣ng mß╗Öt ─æß╗ïa chß╗ë email nh╞░ng viß║┐t kh├íc kiß╗âu chß╗» (c├│ khoß║úng trß║»ng, chß╗» hoa) vß║½n tß║ío ─æ╞░ß╗úc nhiß╗üu t├ái khoß║ún kh├íc nhau.",- Email tß╗▒ ─æß╗Öng bß╗Å khoß║úng trß║»ng thß╗½a v├á chuyß╗ân vß╗ü chß╗» th╞░ß╗¥ng tr╞░ß╗¢c khi kiß╗âm tra tr├╣ng v├á l╞░u v├áo hß╗ç thß╗æng.,,,
15,,"- ─É─âng k├╜ bß║▒ng mß║íng x├ú hß╗Öi, t├ái khoß║ún google",,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,- Ng╞░ß╗¥i d├╣ng c├│ thß╗â ─æ─âng k├╜ nhanh bß║▒ng t├ái khoß║ún Google hoß║╖c mß║íng x├ú hß╗Öi. Nß║┐u email tß╗½ t├ái khoß║ún mß║íng x├ú hß╗Öi ch╞░a tß╗ôn tß║íi trong hß╗ç thß╗æng th├¼ tß╗▒ ─æß╗Öng tß║ío t├ái khoß║ún mß╗¢i.,,,
16,─É─âng nhß║¡p,- Ghi nhß╗¢ ─æ─âng nhß║¡p,,Cß║⌐n cß║úi thiß╗çn,"- Checkbox ""Ghi nhß╗¢ ─æ─âng nhß║¡p"" c├│ hiß╗ân thß╗ï tr├¬n giao diß╗çn nh╞░ng kh├┤ng c├│ bß║Ñt kß╗│ xß╗¡ l├╜ thß╗▒c sß╗▒ n├áo. Ng╞░ß╗¥i d├╣ng t├¡ch v├áo nh╞░ng lß║ºn sau mß╗ƒ tr├¼nh duyß╗çt vß║½n phß║úi ─æ─âng nhß║¡p lß║íi tß╗½ ─æß║ºu.","-  Khi ng╞░ß╗¥i d├╣ng t├¡ch v├áo ├┤ n├áy th├¼ lß║ºn mß╗ƒ tr├¼nh duyß╗çt sau kh├┤ng cß║ºn ─æ─âng nhß║¡p lß║íi, phi├¬n ─æ─âng nhß║¡p ─æ╞░ß╗úc duy tr├¼ trong khoß║úng thß╗¥i gian hß╗úp l├╜.",,,
17,,- ß║¿n / Hiß╗çn mß║¡t khß║⌐u,,Cß║⌐n cß║úi thiß╗çn,"- ├ö nhß║¡p mß║¡t khß║⌐u kh├┤ng c├│ n├║t ─æß╗â kiß╗âm tra lß║íi nß╗Öi dung vß╗½a g├╡, ng╞░ß╗¥i d├╣ng dß╗à nhß║¡p sai m├á kh├┤ng biß║┐t.","- Th├¬m icon h├¼nh con mß║»t ß╗ƒ g├│c phß║úi ├┤ mß║¡t khß║⌐u. Nhß║Ñn v├áo th├¼ hiß╗çn k├╜ tß╗▒ ─æ├ú g├╡, nhß║Ñn lß║íi th├¼ ß║⌐n ─æi.",,,
18,,- Th├┤ng b├ío khi truy cß║¡p Admin kh├┤ng ─æß╗º quyß╗ün,,Cß║⌐n cß║úi thiß╗çn,"- Khi ng╞░ß╗¥i d├╣ng th╞░ß╗¥ng cß╗æ truy cß║¡p trang quß║ún trß╗ï, hß╗ç thß╗æng chß║╖n lß║íi nh╞░ng kh├┤ng c├│ th├┤ng b├ío r├╡ l├╜ do tß║íi sao bß╗ï chß║╖n.","- Khi kh├┤ng ─æß╗º quyß╗ün truy cß║¡p trang Admin, hiß╗ân thß╗ï th├┤ng b├ío r├╡ r├áng: ""Bß║ín kh├┤ng c├│ quyß╗ün truy cß║¡p khu vß╗▒c quß║ún trß╗ï.""",,,
19,,- Th├┤ng b├ío khi t├ái khoß║ún bß╗ï kho├í,,Cß║⌐n cß║úi thiß╗çn,"- Vß╗¢i t├ái khoß║ún bß╗ï v├┤ hiß╗çu ho├í (active = 0), hß╗ç thß╗æng d├╣ng chung th├┤ng b├ío lß╗ùi giß╗æng nh╞░ sai mß║¡t khß║⌐u, kh├┤ng ph├ón biß╗çt t├¼nh huß╗æng, g├óy nhß║ºm lß║½n cho ng╞░ß╗¥i d├╣ng","- Khi t├ái khoß║ún bß╗ï kho├í v├á cß╗æ ─æ─âng nhß║¡p hiß╗ân thß╗ï ri├¬ng th├┤ng b├ío: ""T├ái khoß║ún cß╗ºa bß║ín ─æ├ú bß╗ï v├┤ hiß╗çu ho├í. Vui l├▓ng li├¬n hß╗ç hß╗ù trß╗ú ─æß╗â ─æ╞░ß╗úc gi├║p ─æß╗í.""",,,
20,,- Th├┤ng b├ío sau ─æ─âng nhß║¡p th├ánh c├┤ng,,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,"- Sau khi ─æ─âng nhß║¡p th├ánh c├┤ng, hiß╗ân thß╗ï th├┤ng b├ío ch├áo mß╗½ng ngß║»n ß╗ƒ trang chß╗º rß╗ôi tß╗▒ ─æß╗Öng biß║┐n mß║Ñt sau v├ái gi├óy.",,,
21,Qu├¬n mß║¡t khß║⌐u,- Kiß╗âm tra bß║úo mß║¡t CSRF,,Cß║⌐n cß║úi thiß╗çn,- Form qu├¬n mß║¡t khß║⌐u c├│ gß╗¡i CSRF token nh╞░ng ph├¡a server kh├┤ng kiß╗âm tra gi├í trß╗ï n├áy,"- Ph├¡a server kiß╗âm tra v├á x├íc nhß║¡n CSRF token trong mß╗ùi y├¬u cß║ºu ─æß║╖t lß║íi mß║¡t khß║⌐u. Y├¬u cß║ºu n├áo thiß║┐u hoß║╖c sai token th├¼ bß╗ï tß╗½ chß╗æi 
ngay lß║¡p tß╗⌐c.",,,
22,,- M├ú ho├í mß║¡t khß║⌐u cß╗ºa t├ái khoß║ún c┼⌐ ,,Cß║⌐n cß║úi thiß╗çn,"- Mß╗Öt sß╗æ t├ái khoß║ún ─æ╞░ß╗úc tß║ío tr╞░ß╗¢c khi hß╗ç thß╗æng c├│ t├¡nh n─âng m├ú ho├í vß║½n ─æang l╞░u mß║¡t khß║⌐u d╞░ß╗¢i dß║íng chß╗» th╞░ß╗¥ng. Nß║┐u dß╗» liß╗çu bß╗ï lß╗Ö, to├án bß╗Ö mß║¡t khß║⌐u n├áy bß╗ï ─æß╗ìc ngay lß║¡p tß╗⌐c m├á kh├┤ng cß║ºn giß║úi m├ú.","- Khi ng╞░ß╗¥i d├╣ng c├│ mß║¡t khß║⌐u c┼⌐ ch╞░a m├ú ho├í ─æ─âng nhß║¡p th├ánh c├┤ng, hß╗ç thß╗æng tß╗▒ ─æß╗Öng m├ú ho├í lß║íi mß║¡t khß║⌐u ─æ├│ v├á cß║¡p nhß║¡t ngay v├áo c╞í sß╗ƒ dß╗» liß╗çu. Sau khi ho├án tß║Ñt, hß╗ç thß╗æng ngß╗½ng hß╗ù trß╗ú so s├ính mß║¡t khß║⌐u ch╞░a m├ú ho├í ho├án to├án.",,,
23,,- Cß║¡p nhß║¡t giao diß╗çn trang,,Cß║⌐n cß║úi thiß╗çn,"- Giao diß╗çn trang qu├¬n mß║¡t khß║⌐u c├▓n ─æ╞ín giß║ún, ch╞░a nhß║Ñt qu├ín vß╗¢i phong c├ích thiß║┐t kß║┐ chung cß╗ºa to├án bß╗Ö ß╗⌐ng dß╗Ñng.","- Giao diß╗çn trang qu├¬n mß║¡t khß║⌐u ─æ╞░ß╗úc cß║¡p nhß║¡t lß║íi ─æß╗ông bß╗Ö vß╗¢i phong c├ích thiß║┐t kß║┐ chung, m├áu sß║»c, font chß╗», bo g├│c v├á khoß║úng c├ích nhß║Ñt qu├ín vß╗¢i c├íc trang ─æ─âng k├╜, ─æ─âng nhß║¡p.",,,
24,,- Giß╗¢i hß║ín sß╗æ lß║ºn gß╗¡i email,,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,- Mß╗ùi ─æß╗ïa chß╗ë email chß╗ë ─æ╞░ß╗úc y├¬u cß║ºu gß╗¡i link ─æß║╖t lß║íi mß║¡t khß║⌐u tß╗æi ─æa 3ΓÇô5 lß║ºn trong v├▓ng 1 giß╗¥ ─æß╗â tr├ính bß╗ï lß║ím dß╗Ñng g├óy spam,,,
25,Quß║ún l├¡ t├ái khoß║ún ,- Cß║¡p nhß║¡t th├┤ng tin ng├áy sinh,,Cß║⌐n cß║úi thiß╗çn,"- ─Éang kh├┤ng hß╗úp l├╜ logic khi c├│ thß╗â nhß║¡p bß║Ñt kß╗│ giß╗¢i hß║ín ng├áy sinh 
( tr╞░ß╗¢c < 100-1000 n─âm < sau) ","- ├ö chß╗ìn ng├áy sinh giß╗¢i hß║ín trong phß║ím vi hß╗úp l├╜: kh├┤ng ─æ╞░ß╗úc chß╗ìn ng├áy trong t╞░╞íng lai v├á kh├┤ng ─æ╞░ß╗úc nhß║¡p n─âm sinh qu├í xa trong qu├í khß╗⌐ (tß╗½ 100 n─âm tr╞░ß╗¢c ─æß║┐n hiß╗çn tß║íi). Cß║ú giao diß╗çn lß║½n hß╗ç thß╗æng ─æß╗üu kiß╗âm tra ─æß╗â tr├ính l╞░u dß╗» liß╗çu v├┤ ngh─⌐a.
",,,
26,,- Cß║¡p nhß║¡t th├┤ng tin ─æß╗ïa chß╗ë c├í nh├ón,,Cß║⌐n cß║úi thiß╗çn,"- Cß║¡p nhß║¡t ─æß╗ïa chß╗ë c├▓n nhß║¡p thß╗º c├┤ng bß║▒ng tay c├│ thß╗â dß║½n ─æß║┐n dß╗» liß╗çu kh├┤ng nhß║Ñt qu├ín (viß║┐t tß║»t, sai ch├¡nh tß║ú)","- Thay bß║▒ng Dropdown c├│ danh s├ích cß╗æ ─æß╗ïnh phß╗Ñ thuß╗Öc nhau , khi chß╗ìn Tß╗ënh xong th├¼ tß╗▒ lß╗ìc Quß║¡n, chß╗ìn Quß║¡n xong th├¼ tß╗▒ lß╗ìc Ph╞░ß╗¥ng. Dß╗» liß╗çu h├ánh ch├¡nh c├│ thß╗â lß║Ñy tß╗½ API c├┤ng khai cß╗ºa Ch├¡nh phß╗º hoß║╖c tß║úi sß║╡n v├áo DB ─æß╗â kh├┤ng phß╗Ñ thuß╗Öc external service.",,,
27,,- ─Éß╗òi mß║¡t khß║⌐u,,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,"- Ng╞░ß╗¥i d├╣ng nhß║¡p mß║¡t khß║⌐u hiß╗çn tß║íi, mß║¡t khß║⌐u mß╗¢i v├á x├íc nhß║¡n mß║¡t khß║⌐u mß╗¢i. Hß╗ç thß╗æng kiß╗âm tra ─æ├║ng mß║¡t khß║⌐u c┼⌐ tr╞░ß╗¢c khi cho ph├⌐p ─æß╗òi. Mß║¡t khß║⌐u mß╗¢i ─æ╞░ß╗úc l╞░u d╞░ß╗¢i dß║íng m├ú ho├í.",,,
28,,- Upload avatar,,Cß║ºn cß║úi thiß╗çn,"- Chß╗⌐c n─âng upload  th├¼ ─æ├ú hoß║ít ─æß╗Öng, nh╞░ng file ß║únh c┼⌐ kh├┤ng ─æ╞░ß╗úc xo├í sau khi ng╞░ß╗¥i d├╣ng ─æß╗òi ß║únh mß╗¢i. 
C├íc file ß║únh c┼⌐ t├¡ch tß╗Ñ dß║ºn tr├¬n server chiß║┐m dung l╞░ß╗úng l╞░u trß╗» kh├┤ng cß║ºn thiß║┐t.","- Sau khi ng╞░ß╗¥i d├╣ng tß║úi ß║únh ─æß║íi diß╗çn mß╗¢i l├¬n th├ánh c├┤ng, file ß║únh c┼⌐ ─æ╞░ß╗úc tß╗▒ ─æß╗Öng xo├í khß╗Åi server ─æß╗â tr├ính l├úng ph├¡ dung l╞░ß╗úng. ß║ónh mß╗¢i hiß╗ân thß╗ï ngay kh├┤ng cß║ºn tß║úi lß║íi trang.",,,
29,Danh s├ích sß║ún phß║⌐m,- Lß╗ìc nhiß╗üu ti├¬u ch├¡ ─æß╗ông thß╗¥i,,Cß║ºn cß║úi thiß╗çn,"- C├íc bß╗Ö lß╗ìc (th╞░╞íng hiß╗çu, khoß║úng gi├í, giß╗¢i t├¡nh) ─æ╞░ß╗úc ├íp dß╗Ñng ri├¬ng lß║╗. Khi ng╞░ß╗¥i d├╣ng nhß║Ñn n├║t ""Lß╗ìc sß║ún phß║⌐m"", trang tß║úi lß║íi to├án bß╗Ö mß╗¢i hiß╗ân thß╗ï kß║┐t quß║ú.",- Ng╞░ß╗¥i d├╣ng chß╗ìn ─æß╗ông thß╗¥i ─æ╞░ß╗úc nhiß╗üu bß╗Ö lß╗ìc (vd: vß╗½a chß╗ìn th╞░╞íng hiß╗çu Nike vß╗½a chß╗ìn khoß║úng gi├í v├á giß╗¢i t├¡nh ) v├á kß║┐t quß║ú cß║¡p nhß║¡t ngay lß║¡p tß╗⌐c m├á kh├┤ng cß║ºn tß║úi lß║íi trang.,,,
30,,- T├¼m kiß║┐m tiß║┐ng Viß╗çt kh├┤ng dß║Ñu,,Cß║ºn cß║úi thiß╗çn,- Chß╗⌐c n─âng t├¼m kiß║┐m chß╗ë khß╗¢p ─æ├║ng tß╗½ kho├í ng╞░ß╗¥i d├╣ng g├╡ v├áo t├¬n sß║ún phß║⌐m. Nß║┐u g├╡ kh├┤ng dß║Ñu hoß║╖c viß║┐t tß║»t th├¼ kh├┤ng t├¼m ra kß║┐t quß║ú d├╣ sß║ún phß║⌐m c├│ tß╗ôn tß║íi.,"- T├¼m kiß║┐m hß╗ù trß╗ú tiß║┐ng Viß╗çt c├│ dß║Ñu lß║½n kh├┤ng dß║Ñu (vd: g├╡ ""giay chay bo"" vß║½n t├¼m ra ""Gi├áy Chß║íy Bß╗Ö"") gi├║p ng╞░ß╗¥i d├╣ng t├¼m kiß║┐m dß╗à d├áng h╞ín.",,,
31,,- Mß╗ƒ rß╗Öng phß║ím vi t├¼m kiß║┐m,,Cß║ºn cß║úi thiß╗çn,- T├¼m kiß║┐m hiß╗çn chß╗ë so s├ính tß╗½ kho├í vß╗¢i t├¬n sß║ún phß║⌐m c├╣ng vß╗¢i 1 sß╗æ ├¡t t├¬n th╞░╞íng hiß╗çu v├á danh mß╗Ñc dß║½n ─æß║┐n ng╞░ß╗¥i d├╣ng t├¼m t├¬n h├úng th├¼ kh├┤ng ra kß║┐t quß║ú.,"- Mß╗ƒ rß╗Öng t├¼m kiß║┐m ─æß╗â bao gß╗ôm cß║ú t├¬n th╞░╞íng hiß╗çu, gi├║p ng╞░ß╗¥i d├╣ng g├╡ t├¬n h├úng c┼⌐ng t├¼m ─æ╞░ß╗úc sß║ún phß║⌐m t╞░╞íng ß╗⌐ng. T─âng hiß╗çu quß║ú trß║úi nghiß╗çm ng╞░ß╗¥i d├╣ng",,,
32,,- Th├¬m dß╗» liß╗çu sß║ún phß║⌐m tr├¬n 200 sß║ún phß║⌐m ,,Cß║ºn cß║úi thiß╗çn,"- Mß╗¢i chß╗ë ─æang c├│ gß║ºn 50 sß║ún phß║⌐m nhiß╗üu m├áu s─âc, kich thich, thß╗â loß║íi ","- Gi├║p web trß╗ƒ l├¬n ─æa dang v├á phong ph├║ h╞ín, cß║úi thiß╗çn vß╗ü trß║úi nghiß╗çm ng╞░ß╗¥i dung",,,
33,,- Ph├ón trang,,Cß║ºn cß║úi thiß╗çn,"- Thanh ph├ón trang ─æang liß╗çt k├¬ to├án bß╗Ö tß║Ñt cß║ú sß╗æ trang li├¬n tiß║┐p. Nß║┐u c├│ 50ΓÇô100 trang, thanh ph├ón trang k├⌐o rß║Ñt d├ái g├óy mß║Ñt thß║⌐m mß╗╣ v├á gß║ºn nh╞░ kh├┤ng d├╣ng ─æ╞░ß╗úc.","- Thanh ph├ón trang chß╗ë hiß╗ân thß╗ï c├íc trang gß║ºn trang hiß╗çn tß║íi, d├╣ng dß║Ñu ""..."" cho khoß║úng ß╗ƒ giß╗»a thay v├¼ liß╗çt k├¬ hß║┐t. Giß╗» nguy├¬n bß╗Ö lß╗ìc v├á ti├¬u ch├¡ sß║»p xß║┐p khi chuyß╗ân trang.",,,
34,,- Hiß╗ân thß╗ï sß╗æ l╞░ß╗úng kß║┐t quß║ú,,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,"- Ngay ph├¡a tr├¬n danh s├ích sß║ún phß║⌐m hiß╗ân thß╗ï sß╗æ l╞░ß╗úng sß║ún phß║⌐m ─æang khß╗¢p vß╗¢i bß╗Ö lß╗ìc hiß╗çn tß║íi, vd: ""─Éang hiß╗ân thß╗ï 16 / 48 sß║ún phß║⌐m"".",,,
35,,- N├║t xo├í bß╗Ö lß╗ìc,,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,"- C├│ n├║t ""Xo├í bß╗Ö lß╗ìc"" ─æß╗â ng╞░ß╗¥i d├╣ng bß╗Å tß║Ñt cß║ú ti├¬u ch├¡ ─æang chß╗ìn v├á quay vß╗ü danh s├ích ─æß║ºy ─æß╗º chß╗ë bß║▒ng mß╗Öt lß║ºn nhß║Ñn, kh├┤ng cß║ºn bß╗Å tß╗½ng lß╗▒a chß╗ìn mß╗Öt.",,,
36,Chi tiß║┐t sß║ún phß║⌐m,"- Validation x├íc thß╗▒c login mß╗¢i thß╗▒c hiß╗çn ─æ╞░ß╗úc c├íc chß╗⌐c 
n─âng trß║úi nghiß╗çm trang web ( trß╗½ ─æ├ính gi├í ─æang lß╗ùi hiß╗ân thß╗ï 
form)",,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,"-C├íc trang y├¬u cß║ºu ─æ─âng nhß║¡p tß╗▒ ─æß╗Öng chuyß╗ân ng╞░ß╗¥i d├╣ng vß╗ü trang ─æ─âng nhß║¡p. Sau khi ─æ─âng nhß║¡p xong, hß╗ç thß╗æng chuyß╗ân ─æ├║ng vß╗ü trang ng╞░ß╗¥i d├╣ng muß╗æn v├áo ban ─æß║ºu.",,,
